"В ЮАР пропали без вести 199 шахтеров",http://lenta.ru/news/2015/02/22/goldmine/,"
    Пожар вспыхнул на глубине 2,3 тысячи метров в шахте по добыче золота компании Harmony Gold, расположенной в 75 километрах от Йоханнесбурга. Спасти удалось 287 человек, 280 из них уже подняты на поверхность. Судьба еще 199 горняков остается неизвестной, сообщили в компании.
  ","Sun, 22 Feb 2015 21:52:11 +0300"
"Министр анонсировал создание телеканала Ukrainian Tomorrow",http://lenta.ru/news/2015/02/22/ukrainiantomorrow/,"
    Министр информационной политики Украины Юрий Стець анонсировал создание телеканала иновещания. «Мы в течение месяца запустим канал иновещания, название которого будет Ukrainian Tomorrow, в отличие от Russia Today. У них есть только сегодня, а у нас — будущее», — сказал Стець.
  ","Sun, 22 Feb 2015 19:56:00 +0300"
"Следователи заинтересовались смертью пенсионерки в магазине Петербурга",http://lenta.ru/news/2015/02/22/pensionerka/,"
    Следователи проводят проверку по факту смерти пенсионерки в магазине «Пятерочка» в Санкт-Петербурге. «84-летней местной жительнице стало плохо со здоровьем. Сотрудники магазина своевременно вызвали врачей ""скорой помощи"", однако женщина скончалась до прибытия медиков», — говорится в Следственного комитета России. <br />
  ","Sun, 22 Feb 2015 19:28:00 +0300"
"Опубликована запись взрыва в Харькове",http://lenta.ru/news/2015/02/22/kharkiv/,"
    На сервисе YouTube опубликовано видео взрыва в Харькове. Запись сделана очевидцем, который находился недалеко от того места, где сработало взрывное устройство. Прокуратура квалифицировала произошедшее в городе как теракт. Жертвами взрыва стали две человека — активист и подполковник милиции.
  ","Sun, 22 Feb 2015 18:48:00 +0300"
"«Уралвагонзавод» предложил ОАЭ боевой модуль",http://lenta.ru/news/2015/02/22/modul/,"
    Российский дистанционно управляемый боевой модуль АУ-220М, возможно, будет установлен на колесную боевую бронемашину разработки Emirates Defence Technology. Он оснащен 57-миллиметровой автоматической пушкой и 7,62-миллиметровым пулеметом. Разработка модуля ведется на «Уралвагонзаводе» в течение последних нескольких лет.
  ","Sun, 22 Feb 2015 17:46:00 +0300"
"Семилетняя смертница убила пять человек в Нигерии",http://lenta.ru/news/2015/02/22/shahidka/,"
    Теракт, в результате которого погибли пять жителей Нигерии, совершила семилетняя девочка. Смертница подорвала себя после того, как ее попросили пройти досмотр при входе на городской рынок. Пока ни одна из террористических организаций не взяла на себя ответственность за произошедшее. <br />
  ","Sun, 22 Feb 2015 17:45:00 +0300"
"Установлены личности погибших при взрыве в Харькове",http://lenta.ru/news/2015/02/22/gerashenko/,"
    При взрыве на шествии в Харькове погибли местный активист Игорь Толмачев и подполковник милиции Рыбальченко (его имя не уточняется). Об этом сообщил советник министра внутренних дел Украины Антон Геращенко. Ранения получили 11 человек, в том числе пять милиционеров, сопровождавших колонну демонстрантов.
  ","Sun, 22 Feb 2015 17:41:00 +0300"
"В СБУ отчитались о предотвращенных в Харькове терактах",http://lenta.ru/news/2015/02/22/lubkivskyi/,"
    Службе безопасности Украины (СБУ) удалось предотвратить несколько терактов, которые планировалось совершить 22 февраля в Харькове. Об этом заявил советник главы СБУ Маркиян Лубкивский. В воскресенье в Харькове сработало взрывное устройство, в результате чего погибли два человека. Прокуратура признала произошедшее терактом.
  ","Sun, 22 Feb 2015 17:07:00 +0300"
"Двукратного чемпиона «Формулы-1» госпитализировали после аварии",http://lenta.ru/news/2015/02/22/alonso/,"
    Двукратный чемпион мира по автогонкам серии «Формула-1» пилот «Макларена» Фернандо Алонсо в воскресенье, 22 февраля,  попал в аварию на тестах в Барселоне и был доставлен в больницу. На одном из поворотов испанец не справился с управлением и врезался в отбойник. 33-летний гонщик находится в сознании.
  ","Sun, 22 Feb 2015 16:59:00 +0300"
"В прокуратуре уточнили число погибших на марше в Харькове",http://lenta.ru/news/2015/02/22/kharkov2/,"
    В прокуратуре Харьковской области уточнили число погибших во время марша. «В результате взрыва погибли два человека, один из которых милиционер, еще девять пострадавших доставлены в больницу, четверо из них — правоохранители», — отметили  в пресс-службе. Ранее сообщалось о трех погибших и 15 пострадавших.
  ","Sun, 22 Feb 2015 16:51:00 +0300"
"Россия презентовала на выставке в ОАЭ новейший автомат для боевых пловцов",http://lenta.ru/news/2015/02/22/ak/,"
    На выставке IDEX-2015 в Абу-Даби состоялась презентация двухсредного специального автомата АДС, предназначенного для оснащения подразделений боевых пловцов. Он может вести огонь как специальными патронами для подводной стрельбы, так и обычными — калибра 5,45 миллиметра.<br />
  ","Sun, 22 Feb 2015 16:39:00 +0300"
"Турчинов объявил о начале антитеррористической операции в Харькове",http://lenta.ru/news/2015/02/22/turchinov/,"
    Секретарь Совета национальной безопасности и обороны Украины Александр Турчинов объявил о начале антитеррористической операции в Харькове. Кроме того, он сообщил о задержании четырех человек, у которых был изъят гранатомет. Днем 22 февраля в центре Харькова сработало взрывное устройство.
  ","Sun, 22 Feb 2015 16:32:00 +0300"
"Клуб НБА отказался от Андрея Кириленко",http://lenta.ru/news/2015/02/22/kirilenko/,"
    Клуб Национальной баскетбольной ассоциации (НБА) «Филадельфия Севенти Сиксерз» выставил российского форварда Андрея Кириленко на драфт отказов. По правилам НБА, любой клуб в течение 48 часов может забрать 34-летнего игрока бесплатно. Сам баскетболист хочет вернуться в Россию.
  ","Sun, 22 Feb 2015 16:25:00 +0300"
"В СБУ сообщили о задержаниях после взрыва в Харькове",http://lenta.ru/news/2015/02/22/sbu/,"
    Служба безопасности Украины (СБУ) задержала людей, которые могут быть причастны к подготовке взрыва в Харькове. Об этом сообщил советник главы СБУ Маркиян Лубкивский. Ранее прокуратура Харьковской области возбудила дело по статье «Террористический акт». Взрыв на марше в центре города произошел днем 22 февраля.
  ","Sun, 22 Feb 2015 16:11:00 +0300"
"Взрыв на шествии в Харькове признали терактом",http://lenta.ru/news/2015/02/22/kharkov1/,"
    Прокуратура Харьковской области возбудила уголовное дело по факту взрыва на шествии. «Прокуратура возбудила уголовное дело по статье 258 Уголовного кодекса Украины ""Террористический акт""», — рассказали в пресс-службе. Ведомство инициировало досудебную проверку. В результате взрыва погибли три человека.<br />
  ","Sun, 22 Feb 2015 15:56:00 +0300"
"Наблюдатели ОБСЕ нашли в Дебальцево признаки гуманитарной катастрофы",http://lenta.ru/news/2015/02/22/osce/,"
    Наблюдатели ОБСЕ, посетившие Дебальцево, обнаружили в городе признаки гуманитарной катастрофы. «Не было ни одного строения, которое не было бы повреждено от снарядов, ни одного здания», — сказала представитель специальной мониторинговой миссии организации на Украине Ирина Гудыма. 
  ","Sun, 22 Feb 2015 15:45:00 +0300"
"В харьковской прокуратуре сообщили о трех погибших во время марша",http://lenta.ru/news/2015/02/22/3dead/,"
    Три человека погибли, еще десять получили ранения во время марша в Харькове. Такие данные приводит областная прокуратура. В пресс-службе МВД подтверждают гибель одного демонстранта. Сообщается, что среди раненых — сотрудник милиции. По словам очевидцев, из окна проезжающей мимо машины бросили гранату.
  ","Sun, 22 Feb 2015 15:16:00 +0300"
"Россия победила Украину во Всемирной серии бокса",http://lenta.ru/news/2015/02/22/boxing/,"
    «Российская команда бокса» в рамках прошедшего в Волгограде шестого тура группового турнира Всемирной серии одержала верх над «Украинскими атаманами». Поединки во всех пяти весовых категориях завершились победой представителей России. Лидерство в общем зачете сохраняют кубинцы.
  ","Sun, 22 Feb 2015 15:11:00 +0300"
"В Харькове два человека погибли при взрыве во время шествия",http://lenta.ru/news/2015/02/22/kharkov/,"
    В Харькове два человека погибли при взрыве во время шествия, пострадали восемь демонстрантов. На патриотический марш возле Дворца спорта собрались порядка 500 активистов. На месте происшествия работают бригады скорой помощи. По словам очевидцев, из окна проезжающей мимо машины бросили гранату.
  ","Sun, 22 Feb 2015 14:51:00 +0300"
"Мэр Донецка объявил об окончании зачистки Дебальцево",http://lenta.ru/news/2015/02/22/martynov/,"
    Дебальцево полностью очищено от украинских силовиков. Об этом заявил мэр Донецка Игорь Мартынов. «Дебальцево все зачищено, и мы идем дальше», — сказал Мартынов со сцены на празднике Масленицы в Донецке. 21 февраля в ДНР сообщали, что в городе остаются около 500 силовиков.
  ","Sun, 22 Feb 2015 14:40:00 +0300"
"Кобзон стал народным артистом ЛНР",http://lenta.ru/news/2015/02/22/kobzon1/,"
    Депутат Госдумы и певец Иосиф Кобзон награжден званием народного артиста самопровозглашенной Луганской народной республики. Об этом сообщили в Народном совете ЛНР. Кобзон прибыл в Луганск, чтобы выступить на мероприятиях, посвященных Дню защитника Отечества. 
  ","Sun, 22 Feb 2015 14:05:00 +0300"
"Семенченко опроверг информацию об уходе из «Донбасса»",http://lenta.ru/news/2015/02/22/semenchenko1/,"
    Командир батальона «Донбасс» Семен Семенченко опроверг информацию о своей отставке. «Информация, распространяемая на моей странице, является фейковой. Никакого заявления об отставке я не писал, страница взломана», — подчеркнул  Семенченко в разговоре с радиостанцией «Коммерсантъ FM».
  ","Sun, 22 Feb 2015 13:32:00 +0300"
"В Сирии освободили шведского журналиста",http://lenta.ru/news/2015/02/22/journalist/,"
    Сирийские власти освободили шведского журналиста, об исчезновении которого на границе в Турцией сообщалось 21 февраля. 30-летний корреспондент по имени Джоакин Медин рассказал, что чувствует себя нормально. «Я изможден физически и морально, но со мной все в порядке», — отметил он. 
  ","Sun, 22 Feb 2015 13:23:00 +0300"
